concept_group	n_records_72h	n_stays_with_any_record_72h	source_table	n_records_0_24h	n_records_0_48h	n_records_0_72h
delirium_orientation	161	88	nursecharting	98	139	161
glucose_check	1243	93	nursecharting	538	954	1243
pain	2627	198	nursecharting	1193	2044	2627
rass_sedation	1869	87	nursecharting	1010	1568	1869
skin_braden_pressure	18	12	nursecharting	8	14	18
vitals	61172	777	nursecharting	32393	50179	61172
delirium_orientation	92	25	nursecharting	58	82	92
glucose_check	1573	124	nursecharting	747	1279	1573
pain	3171	253	nursecharting	1577	2538	3171
rass_sedation	2699	123	nursecharting	1540	2303	2699
vitals	61805	335	nursecharting	31773	50326	61805
delirium_orientation	151	27	nursecharting	77	125	151
glucose_check	1407	107	nursecharting	580	1054	1407
pain	2963	228	nursecharting	1387	2341	2963
rass_sedation	1886	99	nursecharting	1081	1631	1886
skin_braden_pressure	3	3	nursecharting	0	2	3
vitals	55283	296	nursecharting	28058	44645	55283
delirium_orientation	36	11	nursecharting	26	36	36
glucose_check	1271	107	nursecharting	621	1032	1271
pain	3023	240	nursecharting	1417	2392	3023
rass_sedation	2503	113	nursecharting	1314	2088	2503
skin_braden_pressure	5	5	nursecharting	1	3	5
vitals	57733	318	nursecharting	30573	47187	57733
delirium_orientation	58	16	nursecharting	34	44	58
glucose_check	1297	112	nursecharting	563	1024	1297
pain	2822	244	nursecharting	1421	2248	2822
rass_sedation	2545	132	nursecharting	1389	2082	2545
skin_braden_pressure	3	3	nursecharting	2	3	3
vitals	60278	336	nursecharting	30250	48871	60278
delirium_orientation	70	20	nursecharting	38	60	70
glucose_check	1518	143	nursecharting	659	1148	1518
pain	3401	295	nursecharting	1530	2635	3401
rass_sedation	3096	129	nursecharting	1522	2424	3096
skin_braden_pressure	2	1	nursecharting	0	2	2
vitals	65544	372	nursecharting	35335	53717	65544
delirium_orientation	74	19	nursecharting	38	68	74
glucose_check	1202	122	nursecharting	565	933	1202
pain	3114	252	nursecharting	1447	2493	3114
rass_sedation	2236	110	nursecharting	1200	1865	2236
skin_braden_pressure	4	3	nursecharting	2	3	4
vitals	63168	343	nursecharting	32985	51371	63168
delirium_orientation	99	25	nursecharting	56	86	99
glucose_check	1358	119	nursecharting	617	1058	1358
pain	2973	248	nursecharting	1405	2374	2973
rass_sedation	2373	108	nursecharting	1291	1992	2373
skin_braden_pressure	4	3	nursecharting	3	3	4
vitals	59909	323	nursecharting	32372	49403	59909
delirium_orientation	28	8	nursecharting	14	26	28
glucose_check	1209	93	nursecharting	572	933	1209
pain	2434	214	nursecharting	1126	1934	2434
rass_sedation	1964	101	nursecharting	1018	1629	1964
skin_braden_pressure	2	1	nursecharting	2	2	2
vitals	57434	296	nursecharting	30140	46690	57434
glucose_check	86	9	nursecharting	47	70	86
pain	1289	177	nursecharting	556	977	1289
rass_sedation	1015	88	nursecharting	502	789	1015
skin_braden_pressure	1	1	nursecharting	1	1	1
vitals	63167	238	nursecharting	32617	51365	63167
glucose_check	38	10	nursecharting	23	35	38
pain	1186	160	nursecharting	568	958	1186
rass_sedation	944	85	nursecharting	503	784	944
skin_braden_pressure	2	2	nursecharting	1	1	2
vitals	59800	235	nursecharting	32634	49045	59800
glucose_check	43	6	nursecharting	19	31	43
pain	1258	178	nursecharting	598	989	1258
rass_sedation	701	81	nursecharting	302	487	701
skin_braden_pressure	2	2	nursecharting	0	1	2
vitals	69270	256	nursecharting	35832	55926	69270
glucose_check	29	2	nursecharting	11	22	29
pain	1257	204	nursecharting	574	980	1257
rass_sedation	999	96	nursecharting	479	798	999
skin_braden_pressure	1	1	nursecharting	1	1	1
vitals	74655	285	nursecharting	38278	60140	74655
glucose_check	37	6	nursecharting	19	30	37
pain	1153	165	nursecharting	494	879	1153
rass_sedation	858	74	nursecharting	425	694	858
skin_braden_pressure	1	1	nursecharting	0	0	1
vitals	69005	234	nursecharting	34596	56054	69005
glucose_check	109	9	nursecharting	49	91	109
pain	1385	201	nursecharting	575	1034	1385
rass_sedation	964	102	nursecharting	516	775	964
skin_braden_pressure	2	2	nursecharting	0	1	2
vitals	74969	267	nursecharting	38264	59994	74969
glucose_check	54	5	nursecharting	25	41	54
pain	1237	183	nursecharting	562	975	1237
rass_sedation	905	98	nursecharting	462	714	905
skin_braden_pressure	1	1	nursecharting	0	0	1
vitals	73682	257	nursecharting	36653	58825	73682
glucose_check	30	4	nursecharting	12	19	30
pain	1210	175	nursecharting	528	925	1210
rass_sedation	1110	87	nursecharting	491	864	1110
skin_braden_pressure	1	1	nursecharting	0	1	1
vitals	69582	244	nursecharting	35574	55604	69582
glucose_check	23	3	nursecharting	15	22	23
pain	1331	187	nursecharting	580	1020	1331
rass_sedation	569	74	nursecharting	249	416	569
vitals	70128	257	nursecharting	36146	57496	70128
glucose_check	83	10	nursecharting	37	62	83
pain	1170	186	nursecharting	518	906	1170
rass_sedation	828	97	nursecharting	440	677	828
skin_braden_pressure	2	2	nursecharting	1	1	2
vitals	70096	263	nursecharting	37887	58475	70096
glucose_check	46	4	nursecharting	23	36	46
pain	1213	179	nursecharting	577	955	1213
rass_sedation	882	97	nursecharting	417	674	882
vitals	63113	240	nursecharting	32266	50392	63113
glucose_check	130	12	nursecharting	55	98	130
pain	1132	163	nursecharting	523	880	1132
rass_sedation	633	67	nursecharting	311	509	633
skin_braden_pressure	2	2	nursecharting	2	2	2
vitals	59036	230	nursecharting	30718	48485	59036
delirium_orientation	9807	497	nursecharting	4129	7408	9807
glucose_check	11001	1022	nursecharting	4465	8107	11001
pain	4690	116	nursecharting	2246	3632	4690
rass_sedation	11067	464	nursecharting	4982	8476	11067
skin_braden_pressure	1	1	nursecharting	0	1	1
vitals	62619	2220	nursecharting	32853	50496	62619
delirium_orientation	2553	209	nursecharting	1242	2038	2553
glucose_check	44	7	nursecharting	19	38	44
pain	2428	112	nursecharting	1139	1972	2428
rass_sedation	1880	12	nursecharting	924	1553	1880
vitals	106653	473	nursecharting	53320	84866	106653
delirium_orientation	2980	205	nursecharting	1517	2352	2980
glucose_check	119	19	nursecharting	55	95	119
pain	3520	109	nursecharting	1841	2855	3520
rass_sedation	4726	38	nursecharting	2318	3746	4726
vitals	101021	489	nursecharting	49940	80085	101021
delirium_orientation	2357	186	nursecharting	1221	1862	2357
glucose_check	72	14	nursecharting	41	62	72
pain	2553	92	nursecharting	1252	1918	2553
rass_sedation	1721	19	nursecharting	1013	1442	1721
vitals	96665	403	nursecharting	47638	76728	96665
delirium_orientation	2826	223	nursecharting	1478	2345	2826
glucose_check	74	16	nursecharting	34	56	74
pain	3108	133	nursecharting	1658	2541	3108
rass_sedation	2024	23	nursecharting	1252	1792	2024
vitals	109761	499	nursecharting	54443	88181	109761
delirium_orientation	2626	194	nursecharting	1296	2054	2626
glucose_check	90	15	nursecharting	41	66	90
pain	2832	100	nursecharting	1388	2143	2832
rass_sedation	2333	19	nursecharting	1334	1883	2333
vitals	109151	436	nursecharting	53026	86422	109151
delirium_orientation	2509	195	nursecharting	1252	1986	2509
glucose_check	78	10	nursecharting	38	62	78
pain	2809	106	nursecharting	1507	2331	2809
rass_sedation	1689	16	nursecharting	883	1364	1689
vitals	99389	452	nursecharting	49710	79631	99389
delirium_orientation	2784	204	nursecharting	1488	2326	2784
glucose_check	37	9	nursecharting	22	34	37
pain	2463	106	nursecharting	1406	2101	2463
rass_sedation	2057	21	nursecharting	1313	1813	2057
vitals	103331	461	nursecharting	51843	82861	103331
delirium_orientation	3060	210	nursecharting	1689	2543	3060
glucose_check	82	17	nursecharting	58	73	82
pain	3187	119	nursecharting	1803	2716	3187
rass_sedation	3098	31	nursecharting	1865	2821	3098
vitals	102974	461	nursecharting	50701	81451	102974
delirium_orientation	3241	229	nursecharting	1616	2587	3241
glucose_check	107	18	nursecharting	44	87	107
pain	4057	107	nursecharting	2198	3319	4057
rass_sedation	3548	31	nursecharting	2088	3090	3548
vitals	102513	470	nursecharting	50699	81586	102513
delirium_orientation	2688	235	nursecharting	1344	2125	2688
glucose_check	125	14	nursecharting	75	113	125
pain	2996	122	nursecharting	1566	2510	2996
rass_sedation	1439	19	nursecharting	907	1207	1439
vitals	107911	541	nursecharting	54717	86189	107911
delirium_orientation	2570	186	nursecharting	1195	2080	2570
glucose_check	66	12	nursecharting	28	47	66
pain	3009	107	nursecharting	1603	2426	3009
rass_sedation	2283	19	nursecharting	1125	1845	2283
vitals	94469	415	nursecharting	46864	75465	94469
delirium_orientation	2588	185	nursecharting	1279	2069	2588
glucose_check	102	17	nursecharting	49	88	102
pain	3248	106	nursecharting	1573	2582	3248
rass_sedation	2338	21	nursecharting	1244	1975	2338
vitals	95592	424	nursecharting	47310	75565	95592
delirium_orientation	2817	201	nursecharting	1399	2229	2817
glucose_check	88	17	nursecharting	35	61	88
pain	2881	115	nursecharting	1522	2394	2881
rass_sedation	2842	28	nursecharting	1372	2372	2842
vitals	102067	452	nursecharting	51018	81195	102067
delirium_orientation	2804	218	nursecharting	1444	2231	2804
glucose_check	46	11	nursecharting	30	44	46
pain	2813	112	nursecharting	1705	2430	2813
rass_sedation	1988	29	nursecharting	1380	1822	1988
vitals	101142	463	nursecharting	50563	80965	101142
delirium_orientation	1121	125	nursecharting	362	801	1121
glucose_check	18	2	nursecharting	6	14	18
pain	587	19	nursecharting	298	487	587
rass_sedation	13677	462	nursecharting	7928	11706	13677
vitals	64554	574	nursecharting	33115	52206	64554
delirium_orientation	794	121	nursecharting	98	466	794
rass_sedation	17302	601	nursecharting	10072	14646	17302
vitals	62212	660	nursecharting	32797	50205	62212
delirium_orientation	776	116	nursecharting	106	448	776
rass_sedation	16287	590	nursecharting	9755	14067	16287
vitals	63418	654	nursecharting	32893	51581	63418
delirium_orientation	456	73	nursecharting	54	250	456
pain	7757	338	nursecharting	3139	5735	7757
rass_sedation	14415	478	nursecharting	8130	11948	14415
vitals	78865	806	nursecharting	38663	62242	78865
pain	26632	1253	nursecharting	10838	19911	26632
rass_sedation	7549	239	nursecharting	3787	6219	7549
skin_braden_pressure	2	2	nursecharting	2	2	2
vitals	124767	1354	nursecharting	57624	96441	124767
delirium_orientation	2352	144	nursecharting	1022	1769	2352
glucose_check	3486	269	nursecharting	1738	2764	3486
pain	25342	393	nursecharting	11651	19815	25342
rass_sedation	22712	242	nursecharting	10243	17520	22712
skin_braden_pressure	1	1	nursecharting	0	1	1
vitals	62871	435	nursecharting	29755	49206	62871
delirium_orientation	1634	147	nursecharting	887	1421	1634
glucose_check	3746	269	nursecharting	1838	2995	3746
pain	24674	322	nursecharting	11809	19556	24674
rass_sedation	24261	241	nursecharting	11552	19049	24261
vitals	55962	354	nursecharting	27012	44308	55962
delirium_orientation	2161	179	nursecharting	1081	1854	2161
glucose_check	4116	290	nursecharting	1908	3201	4116
pain	24956	337	nursecharting	11919	19889	24956
rass_sedation	24808	255	nursecharting	11603	19624	24808
vitals	55617	367	nursecharting	26777	44350	55617
delirium_orientation	2040	166	nursecharting	1053	1678	2040
glucose_check	4604	321	nursecharting	2164	3606	4604
pain	27795	384	nursecharting	12985	22113	27795
rass_sedation	28699	281	nursecharting	12856	22524	28699
vitals	64542	418	nursecharting	30846	51515	64542
delirium_orientation	1221	137	nursecharting	723	1060	1221
glucose_check	3929	289	nursecharting	1851	3093	3929
pain	23114	339	nursecharting	11502	18460	23114
rass_sedation	24228	246	nursecharting	11255	18832	24228
vitals	58470	385	nursecharting	28541	46221	58470
delirium_orientation	1791	131	nursecharting	809	1452	1791
glucose_check	3225	238	nursecharting	1507	2578	3225
pain	19267	275	nursecharting	8989	15188	19267
rass_sedation	21004	210	nursecharting	9551	16346	21004
vitals	53408	319	nursecharting	24982	41572	53408
delirium_orientation	1892	125	nursecharting	831	1405	1892
glucose_check	3331	244	nursecharting	1580	2623	3331
pain	21487	296	nursecharting	10208	16909	21487
rass_sedation	19194	205	nursecharting	9066	15064	19194
vitals	52046	328	nursecharting	24490	40931	52046
delirium_orientation	1575	126	nursecharting	810	1232	1575
glucose_check	3491	256	nursecharting	1648	2711	3491
pain	22475	309	nursecharting	10694	17730	22475
rass_sedation	20441	215	nursecharting	9428	15890	20441
vitals	52888	345	nursecharting	25511	41982	52888
delirium_orientation	3946	163	nursecharting	2246	3187	3946
glucose_check	4425	334	nursecharting	2044	3384	4425
pain	14487	262	nursecharting	7340	11572	14487
rass_sedation	13490	235	nursecharting	7178	10859	13490
skin_braden_pressure	3	2	nursecharting	0	2	3
vitals	84671	557	nursecharting	43112	67883	84671
delirium_orientation	6215	207	nursecharting	3465	5320	6215
glucose_check	4526	391	nursecharting	2062	3418	4526
pain	10466	254	nursecharting	6006	8955	10466
rass_sedation	12951	273	nursecharting	7215	10982	12951
skin_braden_pressure	14	9	nursecharting	9	11	14
vitals	96343	691	nursecharting	51841	79747	96343
delirium_orientation	5279	194	nursecharting	2918	4508	5279
glucose_check	4186	356	nursecharting	1885	3237	4186
pain	10767	251	nursecharting	5967	8994	10767
rass_sedation	12347	245	nursecharting	7067	10624	12347
skin_braden_pressure	17	6	nursecharting	12	17	17
vitals	87041	645	nursecharting	46451	71738	87041
delirium_orientation	4187	160	nursecharting	2371	3556	4187
glucose_check	3647	279	nursecharting	1579	2748	3647
pain	12061	248	nursecharting	5905	9671	12061
rass_sedation	10638	215	nursecharting	5813	8739	10638
skin_braden_pressure	14	8	nursecharting	5	13	14
vitals	77885	549	nursecharting	39737	63191	77885
delirium_orientation	114	19	nursecharting	46	76	114
pain	7460	165	nursecharting	3025	5525	7460
rass_sedation	1647	56	nursecharting	563	1133	1647
vitals	29789	174	nursecharting	13049	22528	29789
delirium_orientation	68	14	nursecharting	50	58	68
pain	8517	197	nursecharting	3628	6381	8517
rass_sedation	1602	65	nursecharting	680	1184	1602
vitals	33780	204	nursecharting	14666	25457	33780
delirium_orientation	126	26	nursecharting	54	102	126
pain	8775	200	nursecharting	3691	6580	8775
rass_sedation	1973	70	nursecharting	833	1487	1973
vitals	37845	214	nursecharting	16189	28546	37845
delirium_orientation	74	11	nursecharting	24	56	74
pain	6981	162	nursecharting	2840	5220	6981
rass_sedation	1422	58	nursecharting	631	1106	1422
vitals	29428	169	nursecharting	12422	21822	29428
delirium_orientation	52	7	nursecharting	24	42	52
glucose_check	98	23	nursecharting	49	87	98
pain	7682	217	nursecharting	3230	5762	7682
rass_sedation	932	37	nursecharting	490	732	932
skin_braden_pressure	1	1	nursecharting	0	1	1
vitals	45920	237	nursecharting	21803	35983	45920
glucose_check	361	58	nursecharting	153	270	361
pain	8024	297	nursecharting	3207	5917	8024
rass_sedation	14	1	nursecharting	12	14	14
skin_braden_pressure	2	1	nursecharting	2	2	2
vitals	72204	340	nursecharting	35246	57676	72204
glucose_check	562	76	nursecharting	259	453	562
pain	8367	346	nursecharting	3546	6302	8367
rass_sedation	84	4	nursecharting	74	84	84
vitals	85453	410	nursecharting	44280	69141	85453
glucose_check	451	71	nursecharting	209	365	451
pain	7428	307	nursecharting	3208	5671	7428
rass_sedation	28	2	nursecharting	10	24	28
skin_braden_pressure	1	1	nursecharting	0	1	1
vitals	77594	371	nursecharting	40870	63231	77594
glucose_check	489	66	nursecharting	211	391	489
pain	8078	334	nursecharting	3353	6016	8078
rass_sedation	242	7	nursecharting	128	212	242
skin_braden_pressure	2	2	nursecharting	0	2	2
vitals	84037	395	nursecharting	40984	66731	84037
delirium_orientation	133	8	nursecharting	62	117	133
glucose_check	1014	110	nursecharting	541	826	1014
pain	5163	225	nursecharting	2144	3881	5163
rass_sedation	36	1	nursecharting	18	36	36
vitals	81182	458	nursecharting	42946	66525	81182
delirium_orientation	224	23	nursecharting	99	192	224
glucose_check	1864	162	nursecharting	924	1478	1864
pain	33	14	nursecharting	15	28	33
vitals	75746	463	nursecharting	38141	60694	75746
delirium_orientation	387	23	nursecharting	144	254	387
glucose_check	2032	177	nursecharting	1006	1637	2032
pain	16	6	nursecharting	8	13	16
vitals	78737	491	nursecharting	40550	63401	78737
delirium_orientation	314	24	nursecharting	139	245	314
glucose_check	2136	175	nursecharting	1052	1737	2136
pain	24	10	nursecharting	8	19	24
vitals	77921	477	nursecharting	41127	62864	77921
delirium_orientation	532	41	nursecharting	283	432	532
glucose_check	1105	79	nursecharting	503	869	1105
pain	2051	55	nursecharting	972	1663	2051
restraints	203	28	nursecharting	46	129	203
vitals	43240	255	nursecharting	22297	35430	43240
